"","model_type","measure","yelp_sub_physical","yelp_sub_characteristics","yelp_sub_content","yelp_sub_exogenous","yelp_sub_total"
"1","Deep Learning","AUC",0.585029894428289,0.616941719722068,0.605986828071225,0.651402435849415,0.687966331845551
"2",NA,"F1",0.923147891871944,0.923233068831888,NA,0.923690310616597,0.923403469915098
"3",NA,"Training time",25.692,25.186,25.389,38.705,47.625
"4","Random forests","AUC",0.620117245379063,0.64827406077362,0.644229308753283,0.66624539082073,0.70792914407418
"5",NA,"F1",0.923147891871944,0.923147891871944,0.923147891871944,0.923832468495182,0.923645092789216
"6",NA,"Training time",5.42500000000001,5.476,6.71600000000001,5.41999999999996,6.49799999999999
"7","Generalized Linear Model","AUC",0.577673803880937,0.612695168013238,0.616759356151015,0.657538370135182,0.700462075695759
"8",NA,"F1",0.923147891871944,0.923147891871944,0.923233068831888,0.923318261511488,0.923432587386721
"9",NA,"Training time",1.40299999999999,1.464,1.577,0.34699999999998,1.35300000000001
"10","Gradient Boosting","AUC",0.609496606957794,0.647985998316976,0.645633148322291,0.678348693065073,0.715880075796059
"11",NA,"F1",0.923147891871944,0.923233068831888,0.923304379966734,0.9235757295044,0.923645092789216
"12",NA,"Training time",4.40600000000001,4.482,4.57999999999998,4.346,5.39600000000002
"13","Naive Bayes","AUC",0.561331268465811,0.594186945215824,0.557972179477428,0.612761514759812,0.631640943405145
"14",NA,"F1",0.923147891871944,0.923147891871944,0.923573933911759,0.923147891871944,0.923147891871944
"15",NA,"Training time",1.28399999999999,0.270999999999987,1.32599999999996,1.28799999999995,1.33600000000001
"16","Stacked Ensembles","AUC",0.632588754070487,0.659511975887697,0.664148689657754,0.694472752123036,0.720368859116703
"17",NA,"F1",0.923147891871944,0.923233068831888,0.923147891871944,0.923732740246502,0.92433234421365
"18",NA,"Training time",21.235,26.131,26.826,33.554,48.804
"19","Decision trees","AUC",0.602108842737575,0.607719281996228,0.626977235027531,0.612661334771766,0.640497454228543
"20",NA,"F1",0.923147891871944,0.923147891871944,0.923332717531868,0.923147891871944,0.923147891871944
"21",NA,"Training time",1.285,1.357,1.29899999999998,1.25099999999998,1.34899999999993
"22",NA,NA,NA,NA,NA,NA,NA
"23",NA,NA,NA,NA,NA,NA,NA
"24",NA,NA,NA,NA,NA,NA,NA
